+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f38bc988-f7c2-4bc8-bcf6-b5d65fbbad17       | 0.020 | 0.040 | 0.060   | 0.015 | 0.040 | 0.040 | 0.040 | 0.017  | 129.000   | 129.000   | 516.000       | 129.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/bc41de23-9658-4773-b07c-5f9aaaaa8f1f       | 0.044 | 0.044 | 0.060   | 0.015 | 0.044 | 0.044 | 0.044 | 0.017  | 120.000   | 120.000   | 480.000       | 120.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/ef3330b0-85e6-4323-af52-07e20859a4a6/graph | 0.008 | 0.028 | 0.100   | 0.014 | 0.028 | 0.028 | 0.028 | 0.008  | 1970.000  | 3011.000  | 17347.000     | 2478.143  |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/a1527d97-e8f0-4ffb-a6c8-ef4e33dcee27/graph | 0.000 | 0.040 | 0.084   | 0.014 | 0.040 | 0.040 | 0.040 | 0.014  | 2165.000  | 3212.000  | 16346.000     | 2724.333  |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/a359db31-fe76-4449-a33a-4f60472ad3ba/graph | 0.004 | 0.044 | 0.092   | 0.013 | 0.044 | 0.044 | 0.044 | 0.015  | 1970.000  | 2758.000  | 16115.000     | 2302.143  |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fa7f8475-d3bd-4616-871f-d3a3a366d5a1       | 0.024 | 0.028 | 0.052   | 0.013 | 0.028 | 0.028 | 0.028 | 0.013  | 120.000   | 120.000   | 480.000       | 120.000   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/e33a6cb9-7ac6-4ac3-b5e0-d17b2f969d2c/graph | 0.004 | 0.048 | 0.076   | 0.013 | 0.048 | 0.048 | 0.048 | 0.016  | 2552.000  | 3022.000  | 16999.000     | 2833.167  |
| 15     | 0   | 15     | 0   | 0    | 0   | GET    | /api/isu/c5ff15e4-d6ec-4db1-8f71-35d9712fa8c3/graph | 0.004 | 0.064 | 0.184   | 0.012 | 0.048 | 0.064 | 0.064 | 0.018  | 1970.000  | 3808.000  | 42369.000     | 2824.600  |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/c2aa7d2e-06ba-4f69-b193-6606151c3cd2/graph | 0.004 | 0.028 | 0.036   | 0.012 | 0.028 | 0.028 | 0.028 | 0.011  | 2140.000  | 2921.000  | 7956.000      | 2652.000  |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/ab6773d4-7414-45cc-8131-33600f14e5de/graph | 0.008 | 0.032 | 0.108   | 0.012 | 0.032 | 0.032 | 0.032 | 0.010  | 1970.000  | 3310.000  | 23213.000     | 2579.222  |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/e59b61db-b8ea-48fd-8fcd-5c5aa2b664c4/icon  | 0.024 | 0.024 | 0.024   | 0.012 | 0.024 | 0.024 | 0.024 | 0.012  | 14.000    | 21.000    | 35.000        | 17.500    |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/af5ffbf3-fa66-4166-afb5-a2885bb61a81       | 0.004 | 0.020 | 0.024   | 0.012 | 0.020 | 0.020 | 0.020 | 0.008  | 114.000   | 114.000   | 228.000       | 114.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/a68ea3df-6d90-4da2-b4cb-514b0dea2c3d/graph | 0.000 | 0.024 | 0.024   | 0.012 | 0.024 | 0.024 | 0.024 | 0.012  | 1970.000  | 3088.000  | 5058.000      | 2529.000  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ec611c8a-cef5-4bc8-a81c-9f2e8b523d6a       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f66fe057-5413-463c-ac92-125ad033a381       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/afb9309c-6ef1-43c5-ad8a-ae69a6b99ba8       | 0.008 | 0.028 | 0.048   | 0.012 | 0.028 | 0.028 | 0.028 | 0.010  | 123.000   | 123.000   | 492.000       | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a39b6da9-52e2-4b7e-9a73-6c3c4b65a003       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 115.000   | 115.000   | 115.000       | 115.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/fa7f8475-d3bd-4616-871f-d3a3a366d5a1/graph | 0.004 | 0.020 | 0.024   | 0.012 | 0.020 | 0.020 | 0.020 | 0.008  | 1970.000  | 2734.000  | 4704.000      | 2352.000  |
| 11     | 0   | 11     | 0   | 0    | 0   | GET    | /api/isu/ac664570-e5f4-4a25-b11a-fefd6a89d453/graph | 0.000 | 0.028 | 0.128   | 0.012 | 0.024 | 0.028 | 0.028 | 0.010  | 1970.000  | 3501.000  | 29407.000     | 2673.364  |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/c3ed19b5-454c-41c6-9787-b6cdbc14be92       | 0.000 | 0.068 | 0.116   | 0.012 | 0.024 | 0.068 | 0.068 | 0.020  | 135.000   | 135.000   | 1350.000      | 135.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/afb9309c-6ef1-43c5-ad8a-ae69a6b99ba8/graph | 0.016 | 0.032 | 0.092   | 0.012 | 0.032 | 0.032 | 0.032 | 0.011  | 1970.000  | 3042.000  | 21074.000     | 2634.250  |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/ad416c44-abe8-471f-b868-388d6ee2f164/graph | 0.004 | 0.036 | 0.092   | 0.011 | 0.036 | 0.036 | 0.036 | 0.011  | 1970.000  | 2736.000  | 19459.000     | 2432.375  |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/fb72f08f-25e9-46df-9cc4-29c2881be5ed       | 0.000 | 0.036 | 0.080   | 0.011 | 0.036 | 0.036 | 0.036 | 0.016  | 123.000   | 123.000   | 861.000       | 123.000   |
| 19     | 0   | 19     | 0   | 0    | 0   | GET    | /api/isu/ab855a65-f6e1-496e-b94e-a9e49fd1fa8c/graph | 0.004 | 0.056 | 0.216   | 0.011 | 0.036 | 0.056 | 0.056 | 0.015  | 1970.000  | 4116.000  | 54390.000     | 2862.632  |
