+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/a31d6fa1-6fa9-4888-843a-24e77ca9f016/graph | 0.004 | 0.012 | 0.016   | 0.008 | 0.012 | 0.012 | 0.012 | 0.004  | 374.000   | 482.000   | 856.000      | 428.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/a7cb8379-c53d-486b-bb51-9e43249c279f/graph | 0.004 | 0.012 | 0.016   | 0.008 | 0.012 | 0.012 | 0.012 | 0.004  | 515.000   | 588.000   | 1103.000     | 551.500   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/c29b13ed-a5f8-4239-8d44-7736b75b3b4b       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 117.000   | 117.000   | 117.000      | 117.000   |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/b8ead7fb-17b0-4b17-ab6e-669275d2e273/icon  | 0.016 | 0.016 | 0.016   | 0.008 | 0.016 | 0.016 | 0.016 | 0.008  | 14.000    | 21.000    | 35.000       | 17.500    |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ef488c0c-d9f0-42da-896c-6d24f61fcafe       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 114.000   | 114.000   | 114.000      | 114.000   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/feb6fa9d-45a3-4a32-9482-e5709a225ce3       | 0.004 | 0.028 | 0.080   | 0.008 | 0.012 | 0.028 | 0.028 | 0.007  | 126.000   | 126.000   | 1260.000     | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/e9b7570a-ec0b-45b6-8046-7b5210e23126       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 135.000   | 135.000   | 135.000      | 135.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b4554d74-e6f7-4790-aaba-ad0dde767089       | 0.004 | 0.024 | 0.032   | 0.008 | 0.024 | 0.024 | 0.024 | 0.009  | 117.000   | 117.000   | 468.000      | 117.000   |
| 29     | 0   | 29     | 0   | 0    | 0   | GET    | /api/isu/e0ac181a-c2d7-4de0-af6f-e99a8ecc82e3       | 0.008 | 0.088 | 0.224   | 0.008 | 0.020 | 0.024 | 0.088 | 0.016  | 120.000   | 120.000   | 3480.000     | 120.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/feb6fa9d-45a3-4a32-9482-e5709a225ce3/graph | 0.000 | 0.020 | 0.060   | 0.007 | 0.020 | 0.020 | 0.020 | 0.007  | 270.000   | 648.000   | 3818.000     | 477.250   |
| 15     | 0   | 15     | 0   | 0    | 0   | GET    | /api/isu/e4135cc8-3734-47fd-9dd7-4507b4da6aeb/graph | 0.004 | 0.040 | 0.112   | 0.007 | 0.020 | 0.040 | 0.040 | 0.010  | 265.000   | 698.000   | 7703.000     | 513.533   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/c3fd2b48-e134-43a6-bd6d-d4d5a3b20265/graph | 0.012 | 0.020 | 0.044   | 0.007 | 0.020 | 0.020 | 0.020 | 0.008  | 270.000   | 541.000   | 2822.000     | 470.333   |
| 18     | 0   | 18     | 0   | 0    | 0   | GET    | /api/isu/ad3c80f2-ec3e-46b8-a574-45384cb4963d/graph | 0.004 | 0.080 | 0.128   | 0.007 | 0.016 | 0.080 | 0.080 | 0.018  | 265.000   | 786.000   | 9229.000     | 512.722   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/ab9f04ce-8aaa-4dd2-8457-3e1b492045c7/graph | 0.008 | 0.016 | 0.064   | 0.007 | 0.016 | 0.016 | 0.016 | 0.005  | 272.000   | 629.000   | 4483.000     | 498.111   |
| 13     | 0   | 13     | 0   | 0    | 0   | GET    | /api/isu/d8655bf1-2ef0-41a5-8c68-360ee8b04380       | 0.012 | 0.036 | 0.092   | 0.007 | 0.016 | 0.036 | 0.036 | 0.010  | 132.000   | 132.000   | 1716.000     | 132.000   |
| 17     | 0   | 17     | 0   | 0    | 0   | GET    | /api/isu/b9e56791-ff1f-4b31-8f41-56a452e728cb/graph | 0.008 | 0.028 | 0.120   | 0.007 | 0.016 | 0.028 | 0.028 | 0.008  | 269.000   | 713.000   | 7879.000     | 463.471   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/aa6cdd48-fe64-4390-9f58-5adbc0680109/graph | 0.004 | 0.012 | 0.028   | 0.007 | 0.012 | 0.012 | 0.012 | 0.005  | 385.000   | 759.000   | 2235.000     | 558.750   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/aea8326a-ff50-459c-b3fa-66845752b5df/graph | 0.004 | 0.012 | 0.028   | 0.007 | 0.012 | 0.012 | 0.012 | 0.005  | 272.000   | 618.000   | 1806.000     | 451.500   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/b7046ae6-2f83-4476-8ffa-baf90c4864b7/graph | 0.004 | 0.012 | 0.040   | 0.007 | 0.012 | 0.012 | 0.012 | 0.004  | 378.000   | 591.000   | 3028.000     | 504.667   |
| 3      | 0   | 1      | 0   | 2    | 0   | GET    | /api/isu/a15f35ec-e85a-405f-8201-37c78f79ab9b       | 0.004 | 0.016 | 0.020   | 0.007 | 0.016 | 0.016 | 0.016 | 0.007  | 14.000    | 123.000   | 158.000      | 52.667    |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/f1346483-ee03-48da-bc79-7cb1ed0eec0d/graph | 0.000 | 0.012 | 0.020   | 0.007 | 0.012 | 0.012 | 0.012 | 0.005  | 269.000   | 473.000   | 1122.000     | 374.000   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/c598a99e-e4e8-4b9d-b392-6a8f8060f234       | 0.000 | 0.036 | 0.064   | 0.006 | 0.012 | 0.036 | 0.036 | 0.011  | 126.000   | 126.000   | 1260.000     | 126.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/d138d15a-64d1-42c1-8339-e686f5defb47/graph | 0.004 | 0.020 | 0.044   | 0.006 | 0.020 | 0.020 | 0.020 | 0.008  | 272.000   | 726.000   | 3605.000     | 515.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/b71be151-a2b6-4030-ad0e-0202f4b27876       | 0.004 | 0.016 | 0.044   | 0.006 | 0.016 | 0.016 | 0.016 | 0.005  | 126.000   | 126.000   | 882.000      | 126.000   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/ac526bc0-8260-4849-89ee-e6f6dc30f23c/graph | 0.000 | 0.016 | 0.056   | 0.006 | 0.016 | 0.016 | 0.016 | 0.006  | 266.000   | 630.000   | 3986.000     | 442.889   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/d17d1f90-a4e7-47ac-8ce3-b8dfbc951634/graph | 0.004 | 0.012 | 0.036   | 0.006 | 0.012 | 0.012 | 0.012 | 0.004  | 395.000   | 685.000   | 3381.000     | 563.500   |
| 12     | 0   | 12     | 0   | 0    | 0   | GET    | /api/isu/c598a99e-e4e8-4b9d-b392-6a8f8060f234/graph | 0.004 | 0.016 | 0.072   | 0.006 | 0.016 | 0.016 | 0.016 | 0.005  | 266.000   | 642.000   | 5227.000     | 435.583   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/db025f33-9fe6-4772-9df5-68ac8962c52b       | 0.012 | 0.012 | 0.012   | 0.006 | 0.012 | 0.012 | 0.012 | 0.006  | 120.000   | 120.000   | 240.000      | 120.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/b31196ec-621a-4ebc-8073-068cb4c5e6ec/graph | 0.000 | 0.012 | 0.012   | 0.006 | 0.012 | 0.012 | 0.012 | 0.006  | 266.000   | 496.000   | 762.000      | 381.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f36e01e9-43c4-412c-af89-49bc42d6a922       | 0.000 | 0.024 | 0.024   | 0.006 | 0.024 | 0.024 | 0.024 | 0.010  | 132.000   | 132.000   | 528.000      | 132.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/cdfc0941-da9c-48f4-ad9f-30651b1abeaf       | 0.004 | 0.008 | 0.012   | 0.006 | 0.008 | 0.008 | 0.008 | 0.002  | 123.000   | 123.000   | 246.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b64eaf32-a91c-44bb-bc40-95f939c686a6/graph | 0.000 | 0.012 | 0.024   | 0.006 | 0.012 | 0.012 | 0.012 | 0.004  | 383.000   | 584.000   | 1981.000     | 495.250   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f1346483-ee03-48da-bc79-7cb1ed0eec0d       | 0.004 | 0.020 | 0.024   | 0.006 | 0.020 | 0.020 | 0.020 | 0.008  | 120.000   | 120.000   | 480.000      | 120.000   |
